source,target,value
 Opolskie,Opolskie,65829
 Kujawsko-pomorskie,Slaskie,128
 Swietokrzyskie,Maopolskie,2509
 Dolnoslaskie,Zachodniopomorskie,231
 Swietokrzyskie,Warminsko-mazurskie,0
 Slaskie,Maopolskie,7793
 Kujawsko-pomorskie,Mazowieckie,7261
 Zachodniopomorskie,Podkarpackie,11
 Zachodniopomorskie,odzkie,145
 Mazowieckie,Opolskie,87
 Podlaskie,Maopolskie,281
 Pomorskie,Maopolskie,896
 odzkie,Maopolskie,1097
 Lubuskie,Podkarpackie,10
 Pomorskie,Dolnoslaskie,601
 Dolnoslaskie,Lubelskie,103
 Dolnoslaskie,Podlaskie,10
 odzkie,Podkarpackie,75
 Kujawsko-pomorskie,Dolnoslaskie,777
 Opolskie,Lubuskie,0
 Opolskie,odzkie,399
 Zachodniopomorskie,Maopolskie,288
 Opolskie,Kujawsko-pomorskie,68
 Warminsko-mazurskie,odzkie,104
 Podlaskie,odzkie,151
 Opolskie,Zachodniopomorskie,71
 Podlaskie,Podkarpackie,34
 Pomorskie,Podkarpackie,124
 Pomorskie,Slaskie,480
 Dolnoslaskie,Opolskie,956
 Slaskie,Pomorskie,915
 Slaskie,Zachodniopomorskie,103
 Wielkopolskie,Zachodniopomorskie,1267
 Maopolskie,Podkarpackie,2184
 Pomorskie,Wielkopolskie,1168
 Opolskie,Lubelskie,15
 Lubelskie,Slaskie,211
 Maopolskie,Swietokrzyskie,539
 Warminsko-mazurskie,Maopolskie,428
 Podlaskie,Podlaskie,36141
 Kujawsko-pomorskie,Swietokrzyskie,87
 Pomorskie,Podlaskie,13
 Zachodniopomorskie,Swietokrzyskie,93
 Lubelskie,Podlaskie,165
 Warminsko-mazurskie,Podkarpackie,0
 Dolnoslaskie,Kujawsko-pomorskie,210
 Maopolskie,Podlaskie,0
 Lubelskie,Lubelskie,100902
 Maopolskie,Lubelskie,283
 Swietokrzyskie,Swietokrzyskie,67074
 Kujawsko-pomorskie,Podlaskie,36
 Zachodniopomorskie,Zachodniopomorskie,70775
 Warminsko-mazurskie,Wielkopolskie,260
 Lubuskie,Swietokrzyskie,22
 Swietokrzyskie,Zachodniopomorskie,0
 Swietokrzyskie,Kujawsko-pomorskie,61
 odzkie,Swietokrzyskie,956
 Podkarpackie,Podkarpackie,167922
 Slaskie,Opolskie,2106
